perturbation,baseline_mean_acc,concat_mean_acc,film_mean_acc,gated_mean_acc,gated_delta_vs_baseline,gated_delta_vs_concat,gated_drop_vs_full
amplitude_noise_0.05,0.6700336700336701,0.6778900112233446,0.6750841750841751,0.6902356902356902,0.02020202020202011,0.012345679012345623,0.014590347923681302
amplitude_noise_0.10,0.6711560044893379,0.6795735129068463,0.6711560044893379,0.6829405162738496,0.011784511784511675,0.0033670033670032407,0.021885521885521952
band_0.15_0.30,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5381593714927049
band_0.30_0.50,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16891133557800225,0.0022446689113355955,0.0022446689113355955,0.5359147025813693
band_0.50_0.75,0.16666666666666666,0.16610549943883277,0.16666666666666666,0.1627384960718294,-0.003928170594837244,-0.0033670033670033517,0.5420875420875421
blur_heavy,0.3372615039281706,0.22166105499438832,0.22671156004489337,0.26430976430976433,-0.07295173961840629,0.04264870931537601,0.4405162738496072
blur_light,0.5578002244668911,0.34231200897867564,0.3945005611672278,0.5101010101010102,-0.04769921436588098,0.16778900112233452,0.19472502805836134
downsample_x2,0.6453423120089787,0.6492704826038159,0.6318742985409652,0.6565656565656566,0.011223344556677839,0.007295173961840651,0.04826038159371493
downsample_x4,0.5953984287317621,0.43434343434343436,0.46352413019079686,0.5881032547699214,-0.007295173961840651,0.15375982042648706,0.11672278338945008
full,0.6980920314253648,0.7053872053872053,0.7003367003367004,0.7048260381593715,0.006734006734006703,-0.0005611672278338364,0.0
high_0.30,0.17115600448933782,0.1728395061728395,0.1728395061728395,0.1734006734006734,0.002244668911335568,0.000561167227833892,0.5314253647586982
high_0.50,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16217732884399552,-0.004489337822671136,-0.004489337822671136,0.542648709315376
low_0.15,0.4898989898989899,0.27048260381593714,0.36307519640852975,0.4214365881032548,-0.0684624017957351,0.15095398428731766,0.2833894500561167
low_0.30,0.6077441077441077,0.3866442199775533,0.5011223344556678,0.5970819304152637,-0.010662177328844002,0.21043771043771037,0.10774410774410781
low_0.50,0.6661054994388328,0.654320987654321,0.6285072951739619,0.664983164983165,-0.001122334455667784,0.010662177328844002,0.039842873176206495
phase_noise_0.05,0.6655443322109988,0.6801346801346801,0.6790123456790124,0.6823793490460157,0.01683501683501687,0.002244668911335568,0.02244668911335579
phase_noise_0.10,0.6773288439955106,0.6840628507295174,0.6801346801346801,0.6823793490460157,0.005050505050505083,-0.0016835016835017313,0.02244668911335579
