class_idx,class_name,stage,mean_gt_prob,mean_entropy,acc
0,anger,low_0.15,0.27394257301483493,1.3127224806583289,0.2222222222222222
0,anger,low_0.30,0.34851866611044363,1.1671910124896752,0.37373737373737376
0,anger,low_0.50,0.3661533689262778,1.133487099800447,0.4444444444444444
0,anger,full,0.4114060122848987,1.0448827665261549,0.47474747474747475
1,disgust,low_0.15,0.37378941077475597,1.263967649202154,0.5151515151515151
1,disgust,low_0.30,0.5902561773499003,0.8851967309084203,0.7171717171717171
1,disgust,low_0.50,0.7249225542570154,0.6619290362084003,0.8585858585858586
1,disgust,full,0.7535408954042001,0.590910593800322,0.8383838383838383
2,fear,low_0.15,0.6149881485134664,1.0696005842300376,0.9393939393939394
2,fear,low_0.30,0.630688229632197,0.8915599018636376,0.8585858585858586
2,fear,low_0.50,0.5269874515613974,0.924756819100091,0.7171717171717171
2,fear,full,0.4899913218963628,0.925464633588839,0.6363636363636364
3,joy,low_0.15,0.27543378491519077,1.4573794428748315,0.42424242424242425
3,joy,low_0.30,0.46292122464739915,1.225697588137906,0.6868686868686869
3,joy,low_0.50,0.6119024428266167,0.9228033838850079,0.797979797979798
3,joy,full,0.5487504268836494,0.9384340291673486,0.7575757575757576
4,sadness,low_0.15,0.3259273994375359,1.231179470064664,0.35353535353535354
4,sadness,low_0.30,0.4958793640211977,0.9687530610597495,0.5656565656565656
4,sadness,low_0.50,0.659026553308723,0.7595491327270113,0.7878787878787878
4,sadness,full,0.7113479989195111,0.6857157139239287,0.8585858585858586
5,surprise,low_0.15,0.21332262369869937,1.4777566411278464,0.29292929292929293
5,surprise,low_0.30,0.31689153450795193,1.2795905127669827,0.4444444444444444
5,surprise,low_0.50,0.42364574713877057,1.071510736689423,0.5454545454545454
5,surprise,full,0.5429247572002086,0.934034523638812,0.6666666666666666
