epoch,train_loss,train_acc,test_loss,test_acc,lr,elapsed_sec,patience_counter
1,1.577909,0.443001,1.359506,0.616162,1.00000000e-03,65.327,0
2,1.206804,0.647908,1.138827,0.659933,9.99753527e-04,59.648,0
3,1.021396,0.686147,1.027229,0.671717,9.99014351e-04,57.715,0
4,0.918412,0.711400,0.963648,0.690236,9.97783201e-04,56.081,0
5,0.857917,0.722944,0.929618,0.683502,9.96061293e-04,60.442,1
6,0.818133,0.724387,0.899866,0.693603,9.93850326e-04,54.354,0
7,0.769978,0.757576,0.881989,0.680135,9.91152482e-04,54.357,1
8,0.742930,0.752525,0.869943,0.683502,9.87970423e-04,65.732,2
9,0.712963,0.757576,0.856329,0.686869,9.84307289e-04,69.899,3
10,0.691415,0.763348,0.845581,0.683502,9.80166696e-04,68.884,4
11,0.688043,0.766234,0.840174,0.695286,9.75552730e-04,64.347,0
12,0.658935,0.766955,0.831553,0.688552,9.70469944e-04,69.370,1
13,0.653459,0.768398,0.824748,0.698653,9.64923355e-04,66.299,0
14,0.633621,0.768398,0.822951,0.702020,9.58918436e-04,67.097,0
15,0.607128,0.791486,0.825704,0.690236,9.52461113e-04,67.945,1
16,0.612401,0.787879,0.818631,0.686869,9.45557759e-04,66.985,2
17,0.604331,0.777056,0.816214,0.688552,9.38215187e-04,57.969,3
18,0.581744,0.791486,0.822203,0.683502,9.30440642e-04,61.855,4
19,0.590521,0.791486,0.822218,0.685185,9.22241799e-04,61.363,5
20,0.574817,0.799423,0.812498,0.685185,9.13626747e-04,62.468,6
21,0.564564,0.805916,0.811896,0.696970,9.04603989e-04,61.822,7
22,0.567095,0.795094,0.811000,0.696970,8.95182429e-04,69.662,8
23,0.560673,0.803752,0.810932,0.695286,8.85371365e-04,71.414,9
24,0.545868,0.809524,0.813448,0.688552,8.75180479e-04,76.178,10
