epoch,train_loss,train_acc,test_loss,test_acc,lr,elapsed_sec,compute_elapsed_sec,checkpoint_elapsed_sec,epoch_elapsed_sec,patience_counter,train_response_loss,test_response_loss,train_gate_mean,test_gate_mean,train_adapter_residual_abs_mean,test_adapter_residual_abs_mean,train_adapter_residual_norm,test_adapter_residual_norm,train_layer_scale_mean,test_layer_scale_mean
1,1.608267,0.397547,1.346268,0.609428,1.00000000e-03,59.446,59.402,0.043,59.446,0,,,,,0.082309,0.286382,2.995830,10.580421,0.00518564,0.00999630
2,1.152204,0.646465,1.074250,0.661616,9.99753527e-04,10.025,10.000,0.025,10.025,0,,,,,0.385265,0.452926,14.488984,17.141351,0.01180119,0.01346030
3,0.936313,0.696248,0.995769,0.648148,9.99014351e-04,10.100,10.086,0.014,10.100,1,,,,,0.437301,0.405649,16.497482,15.333587,0.01428836,0.01510992
4,0.803592,0.727273,0.935295,0.663300,9.97783201e-04,11.345,11.321,0.024,11.345,0,,,,,0.454384,0.462680,17.123488,17.396323,0.01612867,0.01720240
5,0.691351,0.777056,0.912078,0.659933,9.96061293e-04,10.204,10.182,0.022,10.204,1,,,,,0.483711,0.470994,18.056811,17.419932,0.01829539,0.01928130
6,0.594833,0.800866,0.902692,0.658249,9.93850326e-04,13.231,13.218,0.013,13.231,2,,,,,0.466362,0.466806,17.219232,17.214095,0.02023667,0.02128928
7,0.493376,0.841270,0.946814,0.641414,9.91152482e-04,10.469,10.448,0.021,10.469,3,,,,,0.475680,0.480716,17.481479,17.700158,0.02241137,0.02324713
8,0.425507,0.869408,0.934277,0.638047,9.87970423e-04,10.959,10.946,0.013,10.959,4,,,,,0.485871,0.479362,17.812810,17.518680,0.02418199,0.02517373
9,0.329661,0.898268,0.945205,0.658249,9.84307289e-04,13.203,13.187,0.016,13.203,5,,,,,0.493054,0.469132,17.983388,17.067315,0.02607465,0.02674214
10,0.274254,0.921356,0.951228,0.666667,9.80166696e-04,10.155,10.117,0.038,10.155,0,,,,,0.487898,0.501827,17.742883,18.289607,0.02750294,0.02844457
11,0.208821,0.940837,1.054720,0.648148,9.75552730e-04,11.324,11.310,0.014,11.324,1,,,,,0.490858,0.493694,17.793872,17.914096,0.02930310,0.03019352
12,0.154712,0.962482,1.075681,0.661616,9.70469944e-04,9.992,9.978,0.014,9.992,2,,,,,0.491814,0.472793,17.784536,17.055684,0.03089454,0.03162377
13,0.099671,0.982684,1.152916,0.653199,9.64923355e-04,10.036,10.022,0.014,10.036,3,,,,,0.497965,0.494103,17.936055,17.774084,0.03233303,0.03292340
14,0.073147,0.991342,1.121027,0.668350,9.58918436e-04,10.087,10.062,0.026,10.087,0,,,,,0.510485,0.507660,18.312148,18.202091,0.03352059,0.03404934
15,0.053689,0.994228,1.254312,0.646465,9.52461113e-04,9.941,9.925,0.016,9.941,1,,,,,0.517894,0.513187,18.547756,18.352357,0.03447104,0.03493031
16,0.039629,0.993506,1.229811,0.658249,9.45557759e-04,9.928,9.915,0.013,9.928,2,,,,,0.523780,0.504977,18.721111,18.037136,0.03526131,0.03551946
17,0.028187,0.997835,1.320098,0.631313,9.38215187e-04,9.977,9.964,0.013,9.977,3,,,,,0.521836,0.505049,18.628672,18.035464,0.03581797,0.03596260
18,0.030335,0.997114,1.362494,0.644781,9.30440642e-04,9.959,9.946,0.013,9.959,4,,,,,0.516065,0.500046,18.387539,17.789348,0.03612661,0.03609265
19,0.028897,0.997835,1.373675,0.634680,9.22241799e-04,10.013,9.999,0.015,10.013,5,,,,,0.498330,0.502015,17.732685,17.875278,0.03615032,0.03658055
20,0.024202,0.995671,1.371088,0.654882,9.13626747e-04,10.000,9.983,0.017,10.000,6,,,,,0.510764,0.488032,18.171439,17.360851,0.03671490,0.03659748
21,0.021847,0.998557,1.420761,0.646465,9.04603989e-04,9.931,9.918,0.012,9.931,7,,,,,0.492604,0.493066,17.543201,17.575311,0.03652216,0.03679473
22,0.011159,0.999278,1.489562,0.627946,8.95182429e-04,9.937,9.923,0.013,9.937,8,,,,,0.508386,0.509996,18.108555,18.143516,0.03705313,0.03749952
23,0.008315,1.000000,1.504537,0.646465,8.85371365e-04,10.075,10.060,0.016,10.075,9,,,,,0.523098,0.512481,18.606426,18.213168,0.03770973,0.03785057
24,0.005958,1.000000,1.558760,0.634680,8.75180479e-04,10.158,10.144,0.014,10.158,10,,,,,0.526905,0.522143,18.727197,18.554506,0.03798710,0.03813501
25,0.004770,1.000000,1.589159,0.629630,8.64619829e-04,10.003,9.990,0.012,10.003,11,,,,,0.535590,0.530408,19.026990,18.839489,0.03826727,0.03839962
26,0.004812,1.000000,1.605799,0.634680,8.53699837e-04,10.167,10.152,0.014,10.167,12,,,,,0.542002,0.533427,19.243599,18.934208,0.03851374,0.03859639
27,0.013936,0.996392,1.676805,0.617845,8.42431279e-04,9.559,9.546,0.013,9.559,13,,,,,0.536971,0.496598,19.056725,17.604572,0.03863161,0.03840194
28,0.009842,0.999278,1.582805,0.638047,8.30825277e-04,10.018,10.003,0.015,10.018,14,,,,,0.500213,0.489454,17.739872,17.362417,0.03830214,0.03845531
29,0.004666,1.000000,1.650103,0.631313,8.18893283e-04,10.002,9.988,0.014,10.002,15,,,,,0.504417,0.503322,17.893165,17.861459,0.03860874,0.03878477
30,0.003603,1.000000,1.702778,0.629630,8.06647073e-04,9.954,9.941,0.014,9.954,16,,,,,0.519588,0.513660,18.433473,18.226623,0.03894875,0.03906851
31,0.002883,1.000000,1.734539,0.622896,7.94098734e-04,9.934,9.921,0.013,9.934,17,,,,,0.527228,0.520459,18.705060,18.468077,0.03917744,0.03929230
32,0.002600,1.000000,1.763540,0.624579,7.81260647e-04,9.985,9.972,0.013,9.985,18,,,,,0.533816,0.526369,18.938132,18.676966,0.03937096,0.03946188
33,0.002137,1.000000,1.785548,0.624579,7.68145484e-04,10.043,10.030,0.013,10.043,19,,,,,0.539223,0.531913,19.126454,18.867030,0.03954599,0.03962010
